slug,city,state,fqhc_name,address,city_addr,state_addr,zip,phone,website,services_includes_lab,distance_miles,website_source
arcadia-ca,Arcadia,CA,"ChapCare by AltaMed Medical Group  -  Monrovia, Lime","513 E Lime Ave, #101",Monrovia,CA,91016,(888) 499-9303,https://www.altamed.org,true,2.19,original
arcadia-ca,Arcadia,CA,East Valley Community Health Center (EVCHC) El Monte,4368 Santa Anita Ave,El Monte,CA,91731,(626) 919-5724,http://www.evchc.org/,true,3.22,places
arcadia-ca,Arcadia,CA,Garfield Health Center El Monte Administrative Site,10454 Valley Blvd,El Monte,CA,91731,(626) 300-9939,http://garfieldmedicalcenter.com/,true,4.01,places
arcadia-ca,Arcadia,CA,APHCV - El Monte/Rosemead Health Center,9960 Baldwin Pl,El Monte,CA,91731,(626) 774-2988,https://www.aphcv.org,true,4.45,original
arcadia-ca,Arcadia,CA,Buddhist Tzu Chi Medical Foundation - Administrative Site,9620 Flair Dr,El Monte,CA,91731,(626) 281-3383,https://tzuchimedical.us,true,4.58,original
arcadia-ca,Arcadia,CA,"Center for Family Health & Education, Inc. dba Priority Care Medical Group El Monte 1",3229 Santa Anita Ave,El Monte,CA,91733,(626) 575-4584,https://www.cffhae.org,true,4.62,original
anchorage-ak,Anchorage,AK,Covenant House Alaska Health Clinic,755 A St,Anchorage,AK,99501,(907) 272-1255,https://covenanthouseak.org/,true,0.33,places
anchorage-ak,Anchorage,AK,Georgetown Clinic,#1 Clinic Road,Anchorage,AK,99501,(907) 675-4556,https://www.ykhc.org,true,0.48,original
anchorage-ak,Anchorage,AK,"EASTERN ALEUTIAN TRIBES, INC.","3380 C St, Suite 100",Anchorage,AK,99503,(907) 277-1440,https://www.eatribes.org,true,1.55,original
anchorage-ak,Anchorage,AK,"Anchorage Neighborhood Health Center, Inc.",4951 Business Park Blvd,Anchorage,AK,99503,(907) 743-7200,https://www.anhc.org,true,2.44,original
anchorage-ak,Anchorage,AK,ALEUTIAN/PRIBILOF ISLANDS ASSOCIATION,1131 E Intl Airport Rd,Anchorage,AK,99518,(907) 276-2700,https://www.apiai.org,true,2.61,original
anchorage-ak,Anchorage,AK,Big Lake Clinic,"3261 S Big Lake Rd, #F",Wasilla,AK,99623,(907) 376-2411,https://www.centracare.com/locations/profile/big-lake-clinic,true,23.15,places
altamonte-springs-fl,Altamonte Springs,FL,Community Health Center - Forest City Family & Dental Care,7900 Forest City Rd,Orlando,FL,32810,(407) 905-8827,https://www.chcfl.org/locations/forest-city/,true,3.53,places
altamonte-springs-fl,Altamonte Springs,FL,Casselberry Health Center,1120 State Road 436,Casselberry,FL,32707,(407) 322-8645,https://www.mytruehealth.org,true,3.54,original
altamonte-springs-fl,Altamonte Springs,FL,Evans High School Wellness Center,3100 Evans Trojans Way,Orlando,FL,32808,407-428-5751 x344,http://www.obfh.org/,true,7.25,places
altamonte-springs-fl,Altamonte Springs,FL,Family Health Source Deltona,1200 Deltona Blvd,Deltona,FL,32725,(386) 202-6025,https://www.myfhs.org,true,17.2,original
altamonte-springs-fl,Altamonte Springs,FL,Osceola Community Health Services at Buenaventura Lakes,2622 Simpson Rd,Kissimmee,FL,34744,(407) 943-8600,https://www.osceolahealthcare.org,true,23.69,original
alexandria-va,Alexandria,VA,Neighborhood Health at 2 East,2 E Glebe Rd,Alexandria,VA,22305,(703) 535-5568,https://www.neighborhoodhealth.org,true,2.2,original
alexandria-va,Alexandria,VA,Ingenuity Prep Public Charter School (SBMH),4600 Livingston Rd SE,Washington,DC,20032,(202) 562-0391,http://www.ingenuityprep.org/,true,2.74,places
alexandria-va,Alexandria,VA,Community of Hope Conway Health and Resource Center,4 Atlantic St SW,Washington,DC,20032,(202) 232-7356,http://www.communityofhopedc.org,true,2.75,original
alexandria-va,Alexandria,VA,Greater Baden Medical Service at Oxon Hill,6196 Oxon Hill Road,Oxon Hill,MD,20745,(301) 686-1665,https://www.gbms.org,true,3.45,original
alexandria-va,Alexandria,VA,Whitman-Walker Health New Max Robinson,1201 Sycamore Dr SE,Washington,DC,20032,(202) 745-7000,http://www.whitman-walker.org/,true,4.12,places
alexandria-va,Alexandria,VA,801 East Shelter-Medical Respite,2722 Martin Luther King Jr Ave SE,Washington,DC,20032,(202) 893-6179,https://www.catholiccharitiesdc.org/program/801-east-mens-shelter/,true,4.36,places
agoura-hills-ca,Agoura Hills,CA,Conejo Valley Family Medical Group,125 W Thousand Oaks Blvd STE 300,Thousand Oaks,CA,91360,(805) 418-9100,http://www.vchca.org/,true,7.2,places
agoura-hills-ca,Agoura Hills,CA,"Clinicas del Camino Real, Inc. - Simi Valley",1424 Madera Rd,Simi Valley,CA,93065,(805) 522-5722,https://www.clinicas.org,true,7.76,original
agoura-hills-ca,Agoura Hills,CA,Todos Para La Salud: Canoga Park,22030 Sherman Way STE 211,Canoga Park,CA,91303,(818) 884-7424,https://www.todosclinic.org/,true,9.09,places
agoura-hills-ca,Agoura Hills,CA,Serenity Care Health Group - Owensmouth,6800 Owensmouth Ave,Canoga Park,CA,91303,(562) 478-4102,,true,9.26,
agoura-hills-ca,Agoura Hills,CA,LAC-CANOGA PARK HEALTH CENTER,7107 Remmet Ave,Canoga Park,CA,91303,(818) 340-3570,https://WWW.NEVHC.ORG,true,9.43,original
agoura-hills-ca,Agoura Hills,CA,Tarzana Treatment Centers  -  Woodland Hills,6022 Variel Ave,Woodland Hills,CA,91367,(818) 996-1051,https://www.tarzanatc.org,true,9.57,original
apopka-fl,Apopka,FL,COMMUNITY HEALTH CENTER - APOPKA FAMILY & OB CARE,225 E 7th St,Apopka,FL,32703,(407) 905-8827,https://WWW.CHCFL.ORG,true,1.42,original
apopka-fl,Apopka,FL,Evans High School Wellness Center,3100 Evans Trojans Way,Orlando,FL,32808,407-428-5751 x344,http://www.obfh.org/,true,5.88,places
apopka-fl,Apopka,FL,Casselberry Health Center,1120 State Road 436,Casselberry,FL,32707,(407) 322-8645,https://www.mytruehealth.org,true,10.12,original
apopka-fl,Apopka,FL,Family Health Source Deltona,1200 Deltona Blvd,Deltona,FL,32725,(386) 202-6025,https://www.myfhs.org,true,20.67,original
apopka-fl,Apopka,FL,Osceola Community Health Services at Backlot,8600 W Irlo Bronson Memorial Hwy,Kissimmee,FL,34747,(407) 943-8600,https://www.osceolahealthcare.org,true,23.56,original
albany-ga,Albany,GA,Hotz Scoggins Family Medical Center,401 S Madison St,Albany,GA,31701,(229) 405-6959,https://www.aaphc.org,true,0.28,original
albany-ga,Albany,GA,Pediatric Convenient Care,1205 US Highway 19 S,Leesburg,GA,31763,(229) 759-7028,https://ccthealth.org/pediatric-convenient-care-leesburg/,true,6.15,places
