slug,fqhc_name,zip,website_source,original_url,is_alive,final_url,http_status,reason,checked_at
arcadia-ca,APHCV - El Monte/Rosemead Health Center,91731,original,https://www.aphcv.org,true,https://www.aphcv.org/,200,ok,2026-05-28T18:01:27+00:00
arcadia-ca,East Valley Community Health Center (EVCHC) El Monte,91731,places,http://www.evchc.org/,true,https://www.evchc.org/,200,ok,2026-05-28T18:01:27+00:00
arcadia-ca,"ChapCare by AltaMed Medical Group  -  Monrovia, Lime",91016,original,https://www.altamed.org,true,https://www.altamed.org/,200,ok,2026-05-28T18:01:27+00:00
anchorage-ak,Covenant House Alaska Health Clinic,99501,places,https://covenanthouseak.org/,true,https://covenanthouseak.org/,200,ok,2026-05-28T18:01:27+00:00
arcadia-ca,Garfield Health Center El Monte Administrative Site,91731,places,http://garfieldmedicalcenter.com/,true,https://www.ahmchealth.com/gmc/?&sub=redirect-to-ahmchealth.com,200,ok,2026-05-28T18:01:28+00:00
arcadia-ca,Buddhist Tzu Chi Medical Foundation - Administrative Site,91731,original,https://tzuchimedical.us,true,https://tzuchimedical.us/,200,ok,2026-05-28T18:01:28+00:00
anchorage-ak,"EASTERN ALEUTIAN TRIBES, INC.",99503,original,https://www.eatribes.org,true,https://www.eatribes.org/,200,ok,2026-05-28T18:01:28+00:00
anchorage-ak,"Anchorage Neighborhood Health Center, Inc.",99503,original,https://www.anhc.org,true,https://www.anhc.org/,200,ok,2026-05-28T18:01:28+00:00
anchorage-ak,Big Lake Clinic,99623,places,https://www.centracare.com/locations/profile/big-lake-clinic,false,https://www.centracare.com/locations/profile/big-lake-clinic,403,http_403,2026-05-28T18:01:28+00:00
arcadia-ca,"Center for Family Health & Education, Inc. dba Priority Care Medical Group El Monte 1",91733,original,https://www.cffhae.org,true,https://www.cffhae.org/,200,ok,2026-05-28T18:01:28+00:00
anchorage-ak,ALEUTIAN/PRIBILOF ISLANDS ASSOCIATION,99518,original,https://www.apiai.org,true,https://www.apiai.org/,200,ok,2026-05-28T18:01:28+00:00
altamonte-springs-fl,Community Health Center - Forest City Family & Dental Care,32810,places,https://www.chcfl.org/locations/forest-city/,true,https://www.chcfl.org/locations/forest-city/,200,ok,2026-05-28T18:01:28+00:00
altamonte-springs-fl,Casselberry Health Center,32707,original,https://www.mytruehealth.org,true,https://www.mytruehealth.org/,200,ok,2026-05-28T18:01:29+00:00
altamonte-springs-fl,Osceola Community Health Services at Buenaventura Lakes,34744,original,https://www.osceolahealthcare.org,true,https://www.osceolahealthcare.org/,200,ok,2026-05-28T18:01:29+00:00
alexandria-va,Neighborhood Health at 2 East,22305,original,https://www.neighborhoodhealth.org,false,,,"conn_error:HTTPSConnectionPool(host='www.neighborhoodhealth.org', port=443): Max retries ex",2026-05-28T18:01:29+00:00
anchorage-ak,Georgetown Clinic,99501,original,https://www.ykhc.org,true,https://www.ykhc.org/,200,ok,2026-05-28T18:01:30+00:00
alexandria-va,Ingenuity Prep Public Charter School (SBMH),20032,places,http://www.ingenuityprep.org/,true,https://www.ingenuityprep.org/,200,ok,2026-05-28T18:01:30+00:00
alexandria-va,Greater Baden Medical Service at Oxon Hill,20745,original,https://www.gbms.org,true,https://gbms.org/,200,ok,2026-05-28T18:01:31+00:00
altamonte-springs-fl,Family Health Source Deltona,32725,original,https://www.myfhs.org,true,https://www.myfhs.org/,200,ok,2026-05-28T18:01:31+00:00
alexandria-va,801 East Shelter-Medical Respite,20032,places,https://www.catholiccharitiesdc.org/program/801-east-mens-shelter/,true,https://www.catholiccharitiesdc.org/program/801-east-mens-shelter/,200,ok,2026-05-28T18:01:32+00:00
altamonte-springs-fl,Evans High School Wellness Center,32808,places,http://www.obfh.org/,true,https://obfh.org/,200,ok,2026-05-28T18:01:32+00:00
