psc_url,hours_human,hours_structured,scraped_at
https://locations.labcorp.com/pa/pennsburg/30717/,"Mon-Fri 7am-2:30pm, Closed Sat-Sun","[{""day"":""Monday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Tuesday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Wednesday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Thursday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Friday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Saturday"",""opens"":""00:00"",""closes"":""00:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:00+00:00
https://locations.labcorp.com/nj/cherry-hill/34994/,"Mon-Fri 8am-4pm, Closed Sat-Sun","[{""day"":""Monday"",""opens"":""08:00"",""closes"":""16:00""},{""day"":""Tuesday"",""opens"":""08:00"",""closes"":""16:00""},{""day"":""Wednesday"",""opens"":""08:00"",""closes"":""16:00""},{""day"":""Thursday"",""opens"":""08:00"",""closes"":""16:00""},{""day"":""Friday"",""opens"":""08:00"",""closes"":""16:00""},{""day"":""Saturday"",""opens"":""00:00"",""closes"":""00:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:02+00:00
https://locations.labcorp.com/ny/amityville/35547/,"Mon-Fri 7:30am-3:30pm, Closed Sat-Sun","[{""day"":""Monday"",""opens"":""07:30"",""closes"":""15:30""},{""day"":""Tuesday"",""opens"":""07:30"",""closes"":""15:30""},{""day"":""Wednesday"",""opens"":""07:30"",""closes"":""15:30""},{""day"":""Thursday"",""opens"":""07:30"",""closes"":""15:30""},{""day"":""Friday"",""opens"":""07:30"",""closes"":""15:30""},{""day"":""Saturday"",""opens"":""00:00"",""closes"":""00:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:03+00:00
https://locations.labcorp.com/ca/lakewood/27013/,"Mon-Fri 6:30am-2:30pm, Sat 7am-11am, Closed Sun","[{""day"":""Monday"",""opens"":""06:30"",""closes"":""14:30""},{""day"":""Tuesday"",""opens"":""06:30"",""closes"":""14:30""},{""day"":""Wednesday"",""opens"":""06:30"",""closes"":""14:30""},{""day"":""Thursday"",""opens"":""06:30"",""closes"":""14:30""},{""day"":""Friday"",""opens"":""06:30"",""closes"":""14:30""},{""day"":""Saturday"",""opens"":""07:00"",""closes"":""11:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:04+00:00
https://locations.labcorp.com/nc/charlotte/27358/,"Mon-Fri 8am-5pm, Closed Sat-Sun","[{""day"":""Monday"",""opens"":""08:00"",""closes"":""17:00""},{""day"":""Tuesday"",""opens"":""08:00"",""closes"":""17:00""},{""day"":""Wednesday"",""opens"":""08:00"",""closes"":""17:00""},{""day"":""Thursday"",""opens"":""08:00"",""closes"":""17:00""},{""day"":""Friday"",""opens"":""08:00"",""closes"":""17:00""},{""day"":""Saturday"",""opens"":""00:00"",""closes"":""00:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:05+00:00
https://locations.labcorp.com/ga/saint-marys/29676/,"Mon-Fri 6:30am-2:30pm, Closed Sat-Sun","[{""day"":""Monday"",""opens"":""06:30"",""closes"":""14:30""},{""day"":""Tuesday"",""opens"":""06:30"",""closes"":""14:30""},{""day"":""Wednesday"",""opens"":""06:30"",""closes"":""14:30""},{""day"":""Thursday"",""opens"":""06:30"",""closes"":""14:30""},{""day"":""Friday"",""opens"":""06:30"",""closes"":""14:30""},{""day"":""Saturday"",""opens"":""00:00"",""closes"":""00:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:07+00:00
https://locations.labcorp.com/ga/columbus/31436/,"Mon-Fri 7:30am-4:30pm, Closed Sat-Sun","[{""day"":""Monday"",""opens"":""07:30"",""closes"":""16:30""},{""day"":""Tuesday"",""opens"":""07:30"",""closes"":""16:30""},{""day"":""Wednesday"",""opens"":""07:30"",""closes"":""16:30""},{""day"":""Thursday"",""opens"":""07:30"",""closes"":""16:30""},{""day"":""Friday"",""opens"":""07:30"",""closes"":""16:30""},{""day"":""Saturday"",""opens"":""00:00"",""closes"":""00:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:08+00:00
https://locations.labcorp.com/wa/seattle/31550/,"Mon-Fri 7am-5pm, Sat 8am-12pm, Closed Sun","[{""day"":""Monday"",""opens"":""07:00"",""closes"":""17:00""},{""day"":""Tuesday"",""opens"":""07:00"",""closes"":""17:00""},{""day"":""Wednesday"",""opens"":""07:00"",""closes"":""17:00""},{""day"":""Thursday"",""opens"":""07:00"",""closes"":""17:00""},{""day"":""Friday"",""opens"":""07:00"",""closes"":""17:00""},{""day"":""Saturday"",""opens"":""08:00"",""closes"":""12:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:09+00:00
https://locations.labcorp.com/ca/hemet/33019/,"Mon-Fri 6am-2pm, Closed Sat-Sun","[{""day"":""Monday"",""opens"":""06:00"",""closes"":""14:00""},{""day"":""Tuesday"",""opens"":""06:00"",""closes"":""14:00""},{""day"":""Wednesday"",""opens"":""06:00"",""closes"":""14:00""},{""day"":""Thursday"",""opens"":""06:00"",""closes"":""14:00""},{""day"":""Friday"",""opens"":""06:00"",""closes"":""14:00""},{""day"":""Saturday"",""opens"":""00:00"",""closes"":""00:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:11+00:00
https://locations.labcorp.com/fl/palm-harbor/35340/,"Mon-Fri 7am-2:30pm, Closed Sat-Sun","[{""day"":""Monday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Tuesday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Wednesday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Thursday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Friday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Saturday"",""opens"":""00:00"",""closes"":""00:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:12+00:00
https://locations.labcorp.com/fl/davie/36328/,"Mon-Fri 7am-3pm, Closed Sat-Sun","[{""day"":""Monday"",""opens"":""07:00"",""closes"":""15:00""},{""day"":""Tuesday"",""opens"":""07:00"",""closes"":""15:00""},{""day"":""Wednesday"",""opens"":""07:00"",""closes"":""15:00""},{""day"":""Thursday"",""opens"":""07:00"",""closes"":""15:00""},{""day"":""Friday"",""opens"":""07:00"",""closes"":""15:00""},{""day"":""Saturday"",""opens"":""00:00"",""closes"":""00:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:13+00:00
https://locations.labcorp.com/ny/bronx/39447/,"Mon-Fri 8am-3:30pm, Sat 8am-4pm, Closed Sun","[{""day"":""Monday"",""opens"":""08:00"",""closes"":""15:30""},{""day"":""Tuesday"",""opens"":""08:00"",""closes"":""15:30""},{""day"":""Wednesday"",""opens"":""08:00"",""closes"":""15:30""},{""day"":""Thursday"",""opens"":""08:00"",""closes"":""15:30""},{""day"":""Friday"",""opens"":""08:00"",""closes"":""15:30""},{""day"":""Saturday"",""opens"":""08:00"",""closes"":""16:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:14+00:00
https://locations.labcorp.com/nj/north-bergen/40871/,"Mon-Fri 7am-2:30pm, Sat 6:30am-11am, Closed Sun","[{""day"":""Monday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Tuesday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Wednesday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Thursday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Friday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Saturday"",""opens"":""06:30"",""closes"":""11:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:16+00:00
https://locations.labcorp.com/nj/piscataway/41015/,"Mon-Fri 7am-2:30pm, Closed Sat-Sun","[{""day"":""Monday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Tuesday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Wednesday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Thursday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Friday"",""opens"":""07:00"",""closes"":""14:30""},{""day"":""Saturday"",""opens"":""00:00"",""closes"":""00:00""},{""day"":""Sunday"",""opens"":""00:00"",""closes"":""00:00""}]",2026-05-28T18:01:17+00:00
