week_of,keyword,device,group,planned_page,ranking_page,position_latest,median_7d,median_prior_7d,gsc_impressions_28d,ai_overview_on_page,testing_com_in_ai_overview,signals
2026-09-25,10 panel drug screen,phone,next-in-line,/tests/10-panel-drug-testing/,/tests/10-panel-drug-testing/,1,1,,1602,yes,yes,
2026-09-25,10 panel drug screen,desktop,next-in-line,/tests/10-panel-drug-testing/,/tests/10-panel-drug-testing/,1,,,1602,yes,yes,
2026-09-25,10 panel drug test,phone,next-in-line,/tests/10-panel-drug-testing/,/tests/10-panel-drug-testing/,1,1,,8654,yes,yes,buy button
2026-09-25,10 panel drug test,desktop,next-in-line,/tests/10-panel-drug-testing/,/tests/10-panel-drug-testing/,1,,,8654,yes,yes,
2026-09-25,13 panel std test,phone,std-pages,/std-testing/full-std-panel/,/std-testing/full-std-panel/,2,2,,132,no,no,
2026-09-25,13 panel std test,desktop,std-pages,/std-testing/full-std-panel/,/std-testing/full-std-panel/,2,,,132,no,no,
2026-09-25,15/3,phone,next-in-line,/tests/ca-15-3/,/tests/ca-15-3/,6,6,,8519,no,no,
2026-09-25,15/3,desktop,next-in-line,/tests/ca-15-3/,/tests/ca-15-3/,5,,,8519,no,no,
2026-09-25,17 hydroxyprogesterone,phone,next-in-line,/tests/17-hydroxyprogesterone/,/tests/17-hydroxyprogesterone/,10,10,,504,yes,yes,
2026-09-25,17 hydroxyprogesterone,desktop,next-in-line,/tests/17-hydroxyprogesterone/,/tests/17-hydroxyprogesterone/,10,,,504,yes,yes,
2026-09-25,a1ac blood test,phone,selling-test-page,/tests/hemoglobin-a1c/,/tests/hemoglobin-a1c/,37,37,,473,yes,no,
2026-09-25,a1ac blood test,desktop,selling-test-page,/tests/hemoglobin-a1c/,/tests/hemoglobin-a1c/,19,,,473,yes,no,
2026-09-25,a1c testing,phone,selling-test-page,/tests/hemoglobin-a1c/,/tests/hemoglobin-a1c/,45,45,,173,yes,no,
2026-09-25,a1c testing,desktop,selling-test-page,/tests/hemoglobin-a1c/,/tests/hemoglobin-a1c/,42,,,173,yes,no,
2026-09-25,abo rh test,phone,selling-test-page,/tests/blood-typing/,/tests/blood-typing/,10,10,,1422,no,no,refresh
2026-09-25,abo rh test,desktop,selling-test-page,/tests/blood-typing/,/tests/blood-typing/,10,,,1422,yes,yes,
2026-09-25,acetaminophen blood test,phone,next-in-line,/tests/acetaminophen/,/tests/acetaminophen/,4,4,,103,yes,yes,
2026-09-25,acetaminophen blood test,desktop,next-in-line,/tests/acetaminophen/,/tests/acetaminophen/,7,,,103,yes,yes,
2026-09-25,acetaminophen test,phone,next-in-line,/tests/acetaminophen/,/tests/acetaminophen/,8,8,,17,yes,yes,
2026-09-25,acetaminophen test,desktop,next-in-line,/tests/acetaminophen/,/tests/acetaminophen/,7,,,17,yes,yes,
2026-09-25,acetylcholine receptor antibody,phone,next-in-line,/tests/acetylcholine-receptor-achr-antibody/,/tests/acetylcholine-receptor-achr-antibody/,2,2,,598,yes,yes,
2026-09-25,acetylcholine receptor antibody,desktop,next-in-line,/tests/acetylcholine-receptor-achr-antibody/,/tests/acetylcholine-receptor-achr-antibody/,2,,,598,yes,yes,
2026-09-25,acetylcholine receptor antibody test,phone,kept,/tests/acetylcholine-receptor-achr-antibody/,/tests/acetylcholine-receptor-achr-antibody/,1,1,,134,yes,yes,
2026-09-25,acetylcholine receptor antibody test,desktop,kept,/tests/acetylcholine-receptor-achr-antibody/,/tests/acetylcholine-receptor-achr-antibody/,2,,,134,yes,yes,
2026-09-25,acetylcholine receptor binding antibody,phone,next-in-line,/tests/acetylcholine-receptor-achr-antibody/,/tests/acetylcholine-receptor-achr-antibody/,2,2,,456,yes,yes,
2026-09-25,acetylcholine receptor binding antibody,desktop,next-in-line,/tests/acetylcholine-receptor-achr-antibody/,/tests/acetylcholine-receptor-achr-antibody/,8,,,456,yes,yes,
2026-09-25,achr antibody test,phone,kept,/tests/acetylcholine-receptor-achr-antibody/,/tests/acetylcholine-receptor-achr-antibody/,2,2,,168,yes,yes,
2026-09-25,achr antibody test,desktop,kept,/tests/acetylcholine-receptor-achr-antibody/,/tests/acetylcholine-receptor-achr-antibody/,2,,,168,yes,yes,
2026-09-25,acid fast bacilli,phone,next-in-line,/tests/acid-fast-bacillus-afb-testing/,/tests/acid-fast-bacillus-afb-testing/,3,3,,1950,yes,yes,
2026-09-25,acid fast bacilli,desktop,next-in-line,/tests/acid-fast-bacillus-afb-testing/,/tests/acid-fast-bacillus-afb-testing/,3,,,1950,yes,yes,
2026-09-25,act blood test,phone,next-in-line,/tests/activated-clotting-time-act/,/tests/activated-clotting-time-act/,1,1,,528,yes,yes,
2026-09-25,act blood test,desktop,next-in-line,/tests/activated-clotting-time-act/,/tests/activated-clotting-time-act/,1,,,528,yes,yes,
2026-09-25,acth,phone,next-in-line,/tests/adrenocorticotropic-hormone-acth/,/tests/adrenocorticotropic-hormone-acth/,3,3,,21526,yes,yes,buy button
2026-09-25,acth,desktop,next-in-line,/tests/adrenocorticotropic-hormone-acth/,/tests/adrenocorticotropic-hormone-acth/,3,,,21526,yes,yes,
2026-09-25,acth hormone,phone,next-in-line,/tests/adrenocorticotropic-hormone-acth/,/tests/adrenocorticotropic-hormone-acth/,8,8,,6673,yes,yes,refresh
2026-09-25,acth hormone,desktop,next-in-line,/tests/adrenocorticotropic-hormone-acth/,,,,,6673,yes,yes,
2026-09-25,acth stim test,phone,selling-test-page,/tests/acth-stimulation-test/,/tests/acth-stimulation-test/,15,15,,74,yes,yes,
2026-09-25,acth stim test,desktop,selling-test-page,/tests/acth-stimulation-test/,/tests/adrenocorticotropic-hormone-acth/,23,,,74,yes,yes,
2026-09-25,acth stimulation test,phone,selling-test-page,/tests/acth-stimulation-test/,/tests/acth-stimulation-test/,15,15,,1003,yes,yes,refresh
2026-09-25,acth stimulation test,desktop,selling-test-page,/tests/acth-stimulation-test/,/tests/acth-stimulation-test/,16,,,1003,yes,yes,
2026-09-25,activated clotting time,phone,next-in-line,/tests/activated-clotting-time-act/,/tests/activated-clotting-time-act/,2,2,,558,yes,yes,
2026-09-25,activated clotting time,desktop,next-in-line,/tests/activated-clotting-time-act/,/tests/activated-clotting-time-act/,3,,,558,yes,yes,
2026-09-25,acute hepatitis panel,phone,selling-test-page,/tests/acute-viral-hepatitis-panel/,/tests/acute-viral-hepatitis-panel/,2,2,,1035,yes,yes,
2026-09-25,acute hepatitis panel,desktop,selling-test-page,/tests/acute-viral-hepatitis-panel/,/tests/acute-viral-hepatitis-panel/,4,,,1035,yes,yes,
2026-09-25,acute viral hepatitis panel,phone,kept,/tests/acute-viral-hepatitis-panel/,/tests/acute-viral-hepatitis-panel/,2,2,,62,yes,yes,
2026-09-25,acute viral hepatitis panel,desktop,kept,/tests/acute-viral-hepatitis-panel/,/tests/acute-viral-hepatitis-panel/,2,,,62,yes,yes,
2026-09-25,adh,phone,next-in-line,/tests/antidiuretic-hormone-adh/,/tests/antidiuretic-hormone-adh/,12,12,,11788,yes,no,refresh
2026-09-25,adh,desktop,next-in-line,/tests/antidiuretic-hormone-adh/,/tests/antidiuretic-hormone-adh/,7,,,11788,yes,no,
2026-09-25,adh hormone,phone,next-in-line,/tests/antidiuretic-hormone-adh/,/tests/antidiuretic-hormone-adh/,9,9,,181,yes,no,
2026-09-25,adh hormone,desktop,next-in-line,/tests/antidiuretic-hormone-adh/,,,,,181,yes,no,
2026-09-25,adrenal gland test,phone,selling-test-page,/tests/acth-stimulation-test/,/tests/cortisol-am-and-pm-test/,16,16,,147,yes,no,other page ranks
2026-09-25,adrenal gland test,desktop,selling-test-page,/tests/acth-stimulation-test/,/tests/cortisol/,16,,,147,yes,no,
2026-09-25,afb culture,phone,next-in-line,/tests/acid-fast-bacillus-afb-testing/,/tests/acid-fast-bacillus-afb-testing/,7,7,,1336,yes,yes,
2026-09-25,afb culture,desktop,next-in-line,/tests/acid-fast-bacillus-afb-testing/,/tests/acid-fast-bacillus-afb-testing/,6,,,1336,yes,yes,
2026-09-25,afp test,phone,kept,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,5,5,,3217,yes,no,
2026-09-25,afp test,desktop,kept,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,5,,,3217,yes,yes,
2026-09-25,afp tumor marker,phone,next-in-line,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,3,3,,4900,yes,yes,buy button
2026-09-25,afp tumor marker,desktop,next-in-line,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,4,,,4900,yes,yes,
2026-09-25,alanine aminotransferase,phone,kept,/tests/alanine-aminotransferase-alt/,/tests/alanine-aminotransferase-alt/,20,20,,210,yes,no,
2026-09-25,alanine aminotransferase,desktop,kept,/tests/alanine-aminotransferase-alt/,/tests/alanine-aminotransferase-alt/,21,,,210,yes,no,
2026-09-25,alanine aminotransferase high,phone,kept,/tests/alanine-aminotransferase-alt/,/tests/alanine-aminotransferase-alt/,22,22,,21,yes,no,
2026-09-25,alanine aminotransferase high,desktop,kept,/tests/alanine-aminotransferase-alt/,/tests/alanine-aminotransferase-alt/,35,,,21,yes,no,
2026-09-25,albumin,phone,selling-test-page,/tests/albumin/,,,101,,151,yes,no,
