week_of,measure,group,value
2026-09-25,phone_terms,brand,7
2026-09-25,phone_ranked,brand,7
2026-09-25,phone_top3,brand,7
2026-09-25,phone_top10,brand,7
2026-09-25,phone_avg,brand,1.3
2026-09-25,phone_terms,category,75
2026-09-25,phone_ranked,category,69
2026-09-25,phone_top3,category,6
2026-09-25,phone_top10,category,36
2026-09-25,phone_avg,category,16.9
2026-09-25,phone_terms,kept,122
2026-09-25,phone_ranked,kept,115
2026-09-25,phone_top3,kept,16
2026-09-25,phone_top10,kept,48
2026-09-25,phone_avg,kept,14.0
2026-09-25,phone_terms,next-in-line,225
2026-09-25,phone_ranked,next-in-line,201
2026-09-25,phone_top3,next-in-line,59
2026-09-25,phone_top10,next-in-line,157
2026-09-25,phone_avg,next-in-line,8.4
2026-09-25,phone_terms,not-ranking-yet,71
2026-09-25,phone_ranked,not-ranking-yet,70
2026-09-25,phone_top3,not-ranking-yet,7
2026-09-25,phone_top10,not-ranking-yet,48
2026-09-25,phone_avg,not-ranking-yet,9.2
2026-09-25,phone_terms,selling-test-page,322
2026-09-25,phone_ranked,selling-test-page,290
2026-09-25,phone_top3,selling-test-page,33
2026-09-25,phone_top10,selling-test-page,141
2026-09-25,phone_avg,selling-test-page,13.7
2026-09-25,phone_terms,std-city,661
2026-09-25,phone_ranked,std-city,661
2026-09-25,phone_top3,std-city,81
2026-09-25,phone_top10,std-city,659
2026-09-25,phone_avg,std-city,5.0
2026-09-25,phone_terms,std-pages,119
2026-09-25,phone_ranked,std-pages,106
2026-09-25,phone_top3,std-pages,31
2026-09-25,phone_top10,std-pages,66
2026-09-25,phone_avg,std-pages,14.3
2026-09-25,phone_terms,treatments,19
2026-09-25,phone_ranked,treatments,14
2026-09-25,phone_top3,treatments,8
2026-09-25,phone_top10,treatments,14
2026-09-25,phone_avg,treatments,3.0
2026-09-25,signal_1,,not enough data
2026-09-25,signal_2,,62
2026-09-25,signal_3,,16
2026-09-25,signal_4,,124
2026-09-25,signal_5,,0
2026-09-25,signal_6,,not enough data
2026-09-25,signal_7,,0
2026-09-25,orders_week,,86
2026-09-25,orders_prev_week,,74
2026-09-25,orders_std,,71
2026-09-25,orders_other,,6
2026-09-25,orders_rest,,22
2026-09-25,ai_overview_cited,phone,480
2026-09-25,ai_overview_cited,desktop,589
2026-09-25,semrush_units_used,,436300
